Country,Clicks,Impressions,CTR,Position
United States,7,2340,0.3%,21.02
United Kingdom,0,29,0%,33.45
India,0,21,0%,3.67
Canada,0,21,0%,6.1
Malaysia,0,7,0%,2.43
South Africa,0,7,0%,66
Brazil,0,6,0%,19.67
Mexico,0,5,0%,12.8
France,0,4,0%,2
Australia,0,4,0%,2.5
Netherlands,0,4,0%,3
Ireland,0,4,0%,3.5
Germany,0,4,0%,4.25
Singapore,0,4,0%,4.5
Turkey,0,3,0%,3.33
Philippines,0,3,0%,6.33
Argentina,0,3,0%,25.33
Switzerland,0,2,0%,1.5
United Arab Emirates,0,2,0%,3
Bahrain,0,2,0%,3
Slovakia,0,2,0%,4
Oman,0,2,0%,4.5
Spain,0,2,0%,8
New Zealand,0,2,0%,10
Taiwan,0,2,0%,11
Egypt,0,2,0%,20.5
Poland,0,1,0%,1
Croatia,0,1,0%,2
Hungary,0,1,0%,2
Italy,0,1,0%,2
South Korea,0,1,0%,2
Guam,0,1,0%,3
Mongolia,0,1,0%,3
Indonesia,0,1,0%,7
Hong Kong,0,1,0%,8
Sweden,0,1,0%,9
Bangladesh,0,1,0%,10
Pakistan,0,1,0%,10
Trinidad & Tobago,0,1,0%,10
Angola,0,1,0%,12
Morocco,0,1,0%,12
Uzbekistan,0,1,0%,14
Ecuador,0,1,0%,15
Portugal,0,1,0%,16
Saudi Arabia,0,1,0%,28
Chile,0,1,0%,35
Kenya,0,1,0%,42
