Country,Clicks,Impressions,CTR,Position
United States,12,2924,0.41%,18.45
Canada,0,86,0%,4.72
United Kingdom,0,39,0%,19.21
India,0,31,0%,32.42
South Africa,0,10,0%,79.8
Brazil,0,5,0%,5.6
Australia,0,5,0%,5.8
Malaysia,0,4,0%,2.75
Costa Rica,0,3,0%,8
Turkey,0,2,0%,2
Netherlands,0,2,0%,2.5
Poland,0,2,0%,3
Philippines,0,2,0%,4.5
Morocco,0,2,0%,5
Spain,0,2,0%,10
Switzerland,0,1,0%,1
Sweden,0,1,0%,1
Seychelles,0,1,0%,2
United Arab Emirates,0,1,0%,3
Singapore,0,1,0%,3
France,0,1,0%,5
Jordan,0,1,0%,5
China,0,1,0%,6
Peru,0,1,0%,6
Czechia,0,1,0%,9
Belarus,0,1,0%,11
Dominican Republic,0,1,0%,12
Mexico,0,1,0%,12
