Date,Clicks,Impressions,CTR,Position
2026-02-24,0,344,0%,24.1
2026-02-25,4,414,0.97%,16.3
2026-02-26,0,606,0%,12.3
2026-02-27,2,352,0.57%,17.6
2026-02-28,0,322,0%,25.6
2026-03-01,1,707,0.14%,17.3
2026-03-02,1,1020,0.1%,15.2
2026-03-03,3,357,0.84%,21.9
2026-03-04,3,349,0.86%,17.8
2026-03-05,3,361,0.83%,15.4
2026-03-06,2,273,0.73%,16
2026-03-07,3,280,1.07%,18.4
2026-03-08,0,311,0%,14.1
2026-03-09,0,1994,0%,10.7
2026-03-10,4,379,1.06%,17.6
2026-03-11,1,312,0.32%,18.1
2026-03-12,4,251,1.59%,18
2026-03-13,1,218,0.46%,18
2026-03-14,0,397,0%,19.7
2026-03-15,0,561,0%,14.3
2026-03-16,2,1158,0.17%,12.8
2026-03-17,0,302,0%,17
2026-03-18,2,241,0.83%,15.2
2026-03-19,1,1538,0.07%,14.2
2026-03-20,0,270,0%,11.8
2026-03-21,2,582,0.34%,10.5
2026-03-22,3,1060,0.28%,27.5
2026-03-23,4,3623,0.11%,38.6
2026-03-24,2,352,0.57%,12.9
2026-03-25,1,289,0.35%,14.5
2026-03-26,3,334,0.9%,11.9
2026-03-27,3,466,0.64%,8.1
2026-03-28,4,556,0.72%,11.1
2026-03-29,2,530,0.38%,11.5
2026-03-30,4,1471,0.27%,11.4
2026-03-31,4,626,0.64%,9.3
2026-04-01,3,488,0.61%,10.2
2026-04-02,2,442,0.45%,9.9
2026-04-03,0,503,0%,10.6
2026-04-04,3,553,0.54%,11
2026-04-05,0,503,0%,12.3
2026-04-06,2,1473,0.14%,12.2
2026-04-07,1,243,0.41%,15.1
2026-04-08,1,238,0.42%,15.4
2026-04-09,0,320,0%,18.9
2026-04-10,0,339,0%,10.7
2026-04-11,0,379,0%,13.7
2026-04-12,0,291,0%,14.2
2026-04-13,0,1269,0%,12.1
2026-04-14,1,270,0.37%,16.1
2026-04-15,0,315,0%,21.1
2026-04-16,1,277,0.36%,15.3
2026-04-17,3,306,0.98%,13.7
2026-04-18,4,399,1%,15.6
2026-04-19,1,606,0.17%,14.7
2026-04-20,1,1045,0.1%,13.7
2026-04-21,2,198,1.01%,17.7
2026-04-22,1,158,0.63%,20.1
2026-04-23,2,206,0.97%,16.6
2026-04-24,1,256,0.39%,11.9
2026-04-25,0,219,0%,17.7
2026-04-26,0,1486,0%,33.4
2026-04-27,1,3868,0.03%,39.5
2026-04-28,0,307,0%,15.8
2026-04-29,2,308,0.65%,17.2
2026-04-30,0,375,0%,12.2
2026-05-01,3,413,0.73%,8.2
2026-05-02,3,356,0.84%,17
2026-05-03,1,573,0.17%,16.3
2026-05-04,4,1264,0.32%,14.9
2026-05-05,2,315,0.63%,16.1
2026-05-06,0,340,0%,15.5
2026-05-07,3,372,0.81%,16.3
2026-05-08,1,298,0.34%,17
2026-05-09,0,315,0%,17.3
2026-05-10,0,694,0%,16
2026-05-11,2,1228,0.16%,13.9
2026-05-12,3,347,0.86%,16.4
2026-05-13,1,336,0.3%,16.5
2026-05-14,1,330,0.3%,17.8
2026-05-15,2,304,0.66%,18.8
2026-05-16,6,488,1.23%,15.6
2026-05-17,1,683,0.15%,14.8
2026-05-18,2,1288,0.16%,14.6
2026-05-19,1,387,0.26%,19.3
2026-05-20,0,332,0%,15.1
2026-05-21,1,360,0.28%,14.8
2026-05-22,4,290,1.38%,16.7
2026-05-23,1,439,0.23%,18.2
