Country,Clicks,Impressions,CTR,Position
United States,6,2292,0.26%,28.52
Canada,0,19,0%,4
United Kingdom,0,17,0%,26.76
India,0,17,0%,37.71
South Africa,0,8,0%,76.12
Australia,0,7,0%,2
Brazil,0,7,0%,12.86
Germany,0,5,0%,20
Malaysia,0,4,0%,2
Romania,0,3,0%,6.67
France,0,3,0%,7.67
Indonesia,0,3,0%,10
Ireland,0,3,0%,27.33
Hong Kong,0,1,0%,1
Singapore,0,1,0%,2
Turkey,0,1,0%,4
China,0,1,0%,5
Japan,0,1,0%,8
Taiwan,0,1,0%,10
Chile,0,1,0%,13
Costa Rica,0,1,0%,14
Italy,0,1,0%,17
Malta,0,1,0%,17
Algeria,0,1,0%,20
Bangladesh,0,1,0%,50
