Time (UTC-06:00),Clicks,Impressions,CTR,Position
2025-11-30T05:00:00,0,13,0%,12.2
2025-11-30T06:00:00,0,18,0%,15.7
2025-11-30T07:00:00,0,8,0%,30.4
2025-11-30T08:00:00,0,9,0%,42.6
2025-11-30T09:00:00,0,13,0%,66.6
2025-11-30T10:00:00,0,12,0%,47.8
2025-11-30T11:00:00,0,8,0%,47.5
2025-11-30T12:00:00,0,16,0%,21.3
2025-11-30T13:00:00,0,6,0%,21.8
2025-11-30T14:00:00,0,11,0%,26.1
2025-11-30T15:00:00,0,16,0%,21.5
2025-11-30T16:00:00,0,7,0%,24.3
2025-11-30T17:00:00,0,9,0%,57.3
2025-11-30T18:00:00,1,15,6.67%,27.4
2025-11-30T19:00:00,0,7,0%,17.7
2025-11-30T20:00:00,0,1,0%,12
2025-11-30T21:00:00,0,2,0%,3
2025-11-30T22:00:00,0,0,0%,0
2025-11-30T23:00:00,0,0,0%,0
2025-12-01T00:00:00,0,2,0%,4
2025-12-01T01:00:00,0,1,0%,2
2025-12-01T02:00:00,0,0,0%,0
2025-12-01T03:00:00,0,0,0%,0
2025-12-01T04:00:00,0,0,0%,0
