Country,Clicks,Impressions,CTR,Position
United States,5,3697,0.14%,38.85
Australia,1,13,7.69%,4.23
India,0,88,0%,7.73
Canada,0,51,0%,4.24
United Kingdom,0,32,0%,23.16
Malaysia,0,17,0%,3.71
France,0,16,0%,4.69
Turkey,0,12,0%,4.17
Singapore,0,11,0%,3.64
Brazil,0,8,0%,10.5
South Africa,0,8,0%,67.38
United Arab Emirates,0,5,0%,4.4
Philippines,0,4,0%,2.25
Italy,0,4,0%,11.25
Jordan,0,3,0%,2.67
Mexico,0,3,0%,3
Montenegro,0,3,0%,6.33
Argentina,0,3,0%,6.67
Netherlands,0,2,0%,2.5
Sweden,0,2,0%,2.5
Israel,0,2,0%,3.5
South Korea,0,2,0%,3.5
Poland,0,2,0%,6
Taiwan,0,2,0%,9
Vietnam,0,2,0%,10
China,0,2,0%,11.5
Spain,0,2,0%,15
Tunisia,0,2,0%,17.5
Germany,0,2,0%,26.5
New Zealand,0,2,0%,30.5
Russia,0,2,0%,31
Bahamas,0,1,0%,1
Ecuador,0,1,0%,2
Ireland,0,1,0%,2
Iran,0,1,0%,2
St. Kitts & Nevis,0,1,0%,2
Norway,0,1,0%,2
Saudi Arabia,0,1,0%,2
Tanzania,0,1,0%,2
Ghana,0,1,0%,3
Hong Kong,0,1,0%,3
Macau,0,1,0%,4
Macedonia,0,1,0%,4
Armenia,0,1,0%,5
Serbia,0,1,0%,5
Thailand,0,1,0%,5
Romania,0,1,0%,6
Nigeria,0,1,0%,7
Grenada,0,1,0%,8
Morocco,0,1,0%,9
Indonesia,0,1,0%,10
Chile,0,1,0%,12
Japan,0,1,0%,12
Greece,0,1,0%,15
Azerbaijan,0,1,0%,20
Ukraine,0,1,0%,33
