category,keyword,competition,intents,trend
same_terms,window treatment,100,,"October 2024 : 40500, November 2024 : 49500, December 2024 : 40500, January 2025 : 49500, February 2025 : 40500, March 2025 : 49500, April 2025 : 40500, May 2025 : 40500, June 2025 : 40500, July 2025 : 33100, August 2025 : 40500, September 2025 : 33100"
same_terms,window treatment stores,9,,"October 2024 : 8100, November 2024 : 6600, December 2024 : 12100, January 2025 : 8100, February 2025 : 12100, March 2025 : 8100, April 2025 : 6600, May 2025 : 8100, June 2025 : 5400, July 2025 : 5400, August 2025 : 5400, September 2025 : 8100"
same_terms,window treatment shop,9,,"October 2024 : 8100, November 2024 : 6600, December 2024 : 12100, January 2025 : 8100, February 2025 : 12100, March 2025 : 8100, April 2025 : 6600, May 2025 : 8100, June 2025 : 5400, July 2025 : 5400, August 2025 : 5400, September 2025 : 8100"
same_terms,window treatment stores near me,33,,"October 2024 : 5400, November 2024 : 5400, December 2024 : 5400, January 2025 : 8100, February 2025 : 9900, March 2025 : 8100, April 2025 : 4400, May 2025 : 4400, June 2025 : 6600, July 2025 : 5400, August 2025 : 4400, September 2025 : 5400"
same_terms,window treatment options,100,,"October 2024 : 1000, November 2024 : 1000, December 2024 : 880, January 2025 : 1000, February 2025 : 880, March 2025 : 1000, April 2025 : 880, May 2025 : 1000, June 2025 : 1000, July 2025 : 1000, August 2025 : 1000, September 2025 : 880"
same_terms,window treatment showroom,9,,"October 2024 : 1000, November 2024 : 1000, December 2024 : 1300, January 2025 : 1300, February 2025 : 1300, March 2025 : 1300, April 2025 : 1300, May 2025 : 1300, June 2025 : 1300, July 2025 : 720, August 2025 : 720, September 2025 : 880"
same_terms,window treatment companies,49,,"October 2024 : 720, November 2024 : 480, December 2024 : 480, January 2025 : 590, February 2025 : 720, March 2025 : 880, April 2025 : 720, May 2025 : 720, June 2025 : 720, July 2025 : 590, August 2025 : 880, September 2025 : 880"
same_terms,window treatment installation,49,,"October 2024 : 390, November 2024 : 390, December 2024 : 390, January 2025 : 480, February 2025 : 720, March 2025 : 880, April 2025 : 720, May 2025 : 590, June 2025 : 590, July 2025 : 590, August 2025 : 590, September 2025 : 390"
same_terms,cornice window treatment,100,,"October 2024 : 590, November 2024 : 590, December 2024 : 390, January 2025 : 880, February 2025 : 590, March 2025 : 720, April 2025 : 720, May 2025 : 590, June 2025 : 480, July 2025 : 480, August 2025 : 480, September 2025 : 390"
same_terms,window treatment installers near me,88,,"October 2024 : 880, November 2024 : 320, December 2024 : 390, January 2025 : 480, February 2025 : 880, March 2025 : 590, April 2025 : 390, May 2025 : 320, June 2025 : 210, July 2025 : 320, August 2025 : 320, September 2025 : 170"
same_terms,window treatment companies near me,77,,"October 2024 : 320, November 2024 : 390, December 2024 : 260, January 2025 : 320, February 2025 : 1300, March 2025 : 480, April 2025 : 590, May 2025 : 390, June 2025 : 390, July 2025 : 390, August 2025 : 260, September 2025 : 320"
related_keywords,cordless blinds home depot,100,,"October 2024 : 2400, November 2024 : 2400, December 2024 : 1600, January 2025 : 1900, February 2025 : 1600, March 2025 : 1900, April 2025 : 1900, May 2025 : 1900, June 2025 : 1900, July 2025 : 1900, August 2025 : 2740000, September 2025 : 2400"
related_keywords,blinds,100,,"October 2024 : 201000, November 2024 : 246000, December 2024 : 201000, January 2025 : 246000, February 2025 : 201000, March 2025 : 246000, April 2025 : 201000, May 2025 : 201000, June 2025 : 201000, July 2025 : 201000, August 2025 : 201000, September 2025 : 201000"
related_keywords,roman shades,100,,"October 2024 : 74000, November 2024 : 74000, December 2024 : 60500, January 2025 : 90500, February 2025 : 74000, March 2025 : 90500, April 2025 : 90500, May 2025 : 90500, June 2025 : 90500, July 2025 : 90500, August 2025 : 90500, September 2025 : 90500"
related_keywords,shades,48,,"October 2024 : 74000, November 2024 : 74000, December 2024 : 74000, January 2025 : 60500, February 2025 : 60500, March 2025 : 90500, April 2025 : 90500, May 2025 : 110000, June 2025 : 90500, July 2025 : 90500, August 2025 : 74000, September 2025 : 135000"
related_keywords,windows and blinds,100,,"October 2024 : 110000, November 2024 : 110000, December 2024 : 90500, January 2025 : 110000, February 2025 : 90500, March 2025 : 110000, April 2025 : 90500, May 2025 : 90500, June 2025 : 90500, July 2025 : 90500, August 2025 : 90500, September 2025 : 90500"
related_keywords,blinds for windows,100,,"October 2024 : 90500, November 2024 : 74000, December 2024 : 60500, January 2025 : 74000, February 2025 : 60500, March 2025 : 74000, April 2025 : 74000, May 2025 : 74000, June 2025 : 60500, July 2025 : 60500, August 2025 : 60500, September 2025 : 49500"
related_keywords,window shades,100,,"October 2024 : 74000, November 2024 : 74000, December 2024 : 60500, January 2025 : 74000, February 2025 : 60500, March 2025 : 74000, April 2025 : 74000, May 2025 : 74000, June 2025 : 74000, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,window shades and blinds,100,,"October 2024 : 74000, November 2024 : 74000, December 2024 : 60500, January 2025 : 74000, February 2025 : 60500, March 2025 : 74000, April 2025 : 74000, May 2025 : 74000, June 2025 : 74000, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,plantation blinds,100,,"October 2024 : 60500, November 2024 : 74000, December 2024 : 60500, January 2025 : 74000, February 2025 : 60500, March 2025 : 74000, April 2025 : 74000, May 2025 : 74000, June 2025 : 74000, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,blinds and shades,100,,"October 2024 : 74000, November 2024 : 74000, December 2024 : 60500, January 2025 : 74000, February 2025 : 60500, March 2025 : 74000, April 2025 : 74000, May 2025 : 74000, June 2025 : 74000, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,plantation shutter,100,,"October 2024 : 60500, November 2024 : 74000, December 2024 : 60500, January 2025 : 74000, February 2025 : 60500, March 2025 : 74000, April 2025 : 74000, May 2025 : 74000, June 2025 : 74000, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,shades window blinds,100,,"October 2024 : 74000, November 2024 : 74000, December 2024 : 60500, January 2025 : 74000, February 2025 : 60500, March 2025 : 74000, April 2025 : 74000, May 2025 : 74000, June 2025 : 74000, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,blinds & shades,100,,"October 2024 : 74000, November 2024 : 74000, December 2024 : 60500, January 2025 : 74000, February 2025 : 60500, March 2025 : 74000, April 2025 : 74000, May 2025 : 74000, June 2025 : 74000, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,blackout blinds,100,,"October 2024 : 49500, November 2024 : 49500, December 2024 : 60500, January 2025 : 74000, February 2025 : 49500, March 2025 : 60500, April 2025 : 60500, May 2025 : 74000, June 2025 : 90500, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,blackout roller shades,100,,"October 2024 : 49500, November 2024 : 49500, December 2024 : 60500, January 2025 : 74000, February 2025 : 49500, March 2025 : 60500, April 2025 : 60500, May 2025 : 74000, June 2025 : 90500, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,blackout blinds for windows,100,,"October 2024 : 49500, November 2024 : 49500, December 2024 : 60500, January 2025 : 74000, February 2025 : 49500, March 2025 : 60500, April 2025 : 60500, May 2025 : 74000, June 2025 : 90500, July 2025 : 74000, August 2025 : 74000, September 2025 : 60500"
related_keywords,window shutters,100,,"October 2024 : 60500, November 2024 : 40500, December 2024 : 33100, January 2025 : 33100, February 2025 : 33100, March 2025 : 49500, April 2025 : 49500, May 2025 : 49500, June 2025 : 49500, July 2025 : 49500, August 2025 : 49500, September 2025 : 49500"
related_keywords,homedepot blinds,100,,"October 2024 : 49500, November 2024 : 49500, December 2024 : 40500, January 2025 : 49500, February 2025 : 40500, March 2025 : 49500, April 2025 : 49500, May 2025 : 49500, June 2025 : 49500, July 2025 : 49500, August 2025 : 49500, September 2025 : 40500"
related_keywords,home depot window shades,100,,"October 2024 : 49500, November 2024 : 49500, December 2024 : 40500, January 2025 : 49500, February 2025 : 40500, March 2025 : 49500, April 2025 : 49500, May 2025 : 49500, June 2025 : 49500, July 2025 : 49500, August 2025 : 49500, September 2025 : 40500"
related_keywords,plantation blinds for windows,100,,"October 2024 : 60500, November 2024 : 40500, December 2024 : 33100, January 2025 : 33100, February 2025 : 33100, March 2025 : 49500, April 2025 : 49500, May 2025 : 49500, June 2025 : 49500, July 2025 : 49500, August 2025 : 49500, September 2025 : 49500"
related_keywords,plantation shutters for windows,100,,"October 2024 : 60500, November 2024 : 40500, December 2024 : 33100, January 2025 : 33100, February 2025 : 33100, March 2025 : 49500, April 2025 : 49500, May 2025 : 49500, June 2025 : 49500, July 2025 : 49500, August 2025 : 49500, September 2025 : 49500"
related_keywords,home depot roller blinds,100,,"October 2024 : 49500, November 2024 : 49500, December 2024 : 40500, January 2025 : 49500, February 2025 : 40500, March 2025 : 49500, April 2025 : 49500, May 2025 : 49500, June 2025 : 49500, July 2025 : 49500, August 2025 : 49500, September 2025 : 40500"
related_keywords,vertical blinds,100,,"October 2024 : 40500, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 33100, May 2025 : 40500, June 2025 : 40500, July 2025 : 40500, August 2025 : 33100, September 2025 : 33100"
related_keywords,roller shades,100,,"October 2024 : 40500, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 40500, May 2025 : 40500, June 2025 : 49500, July 2025 : 60500, August 2025 : 74000, September 2025 : 49500"
related_keywords,window coverings,100,,"October 2024 : 33100, November 2024 : 33100, December 2024 : 27100, January 2025 : 33100, February 2025 : 27100, March 2025 : 33100, April 2025 : 33100, May 2025 : 33100, June 2025 : 49500, July 2025 : 60500, August 2025 : 40500, September 2025 : 27100"
related_keywords,sheer curtains,100,,"October 2024 : 40500, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 33100, May 2025 : 40500, June 2025 : 40500, July 2025 : 40500, August 2025 : 49500, September 2025 : 49500"
related_keywords,drapes,86,,"October 2024 : 40500, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 40500, May 2025 : 49500, June 2025 : 33100, July 2025 : 40500, August 2025 : 40500, September 2025 : 60500"
related_keywords,roller blinds for windows,100,,"October 2024 : 40500, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 40500, May 2025 : 40500, June 2025 : 49500, July 2025 : 60500, August 2025 : 74000, September 2025 : 49500"
related_keywords,sheer drapes,100,,"October 2024 : 40500, November 2024 : 40500, December 2024 : 33100, January 2025 : 40500, February 2025 : 33100, March 2025 : 40500, April 2025 : 33100, May 2025 : 40500, June 2025 : 40500, July 2025 : 40500, August 2025 : 49500, September 2025 : 49500"
